R,G,B,H,S,V,Pixel,Berat,Class,Lebar
165,59,26,112,228,165,24906,31,matang,0.9505671961
143,47,24,114,229,140,20676,31,matang,1.0325776634
106,31,14,114,237,103,17916,31,matang,1.0299019608
103,30,14,115,237,101,17568,31,matang,1.0579508905
115,35,18,115,235,111,18213,31,matang,0.9457009384
107,31,15,115,238,105,16935,31,matang,1.0878145695
105,31,14,115,238,103,19167,31,matang,0.9948426089
115,34,16,114,236,112,19050,31,matang,0.9254897762
116,36,18,114,235,113,18390,31,matang,0.9744869739
138,47,19,113,236,134,20388,31,matang,0.9434242424
114,37,16,113,240,110,14814,31,matang,1.0151543147
112,36,17,114,235,107,23949,49,matang,0.9802886787
103,32,17,115,232,99,24948,49,matang,0.9962897139
178,63,33,113,221,176,35685,49,matang,0.9600495736
149,51,23,113,233,148,24720,49,matang,1.0010662291
143,49,23,113,231,141,24873,49,matang,0.9066857433
169,59,33,114,221,168,32457,49,matang,1.0150403607
170,58,30,114,225,169,34074,49,matang,0.9252723735
129,41,20,114,234,123,22452,49,matang,1.0409068614
110,33,17,115,235,106,22161,49,matang,0.9440939906
127,39,21,115,233,122,19941,49,matang,0.8346331515
127,40,21,115,233,121,23631,49,matang,1.0010389161
147,50,27,114,227,148,26241,49,matang,0.9031782946
176,61,28,113,229,176,30012,49,matang,0.955
131,43,20,114,233,126,22698,49,matang,0.9903491275
131,48,28,114,226,124,24375,49,matang,0.9720481828
134,62,16,109,240,130,17370,35,Setengah matang,1.030994721
183,84,27,109,233,186,18606,35,Setengah matang,0.9129798528
169,78,28,109,229,171,22185,35,Setengah matang,0.9273144098
136,60,18,108,239,138,18765,35,Setengah matang,0.9223941564
144,69,18,107,240,147,18420,35,Setengah matang,0.916150934
145,59,22,111,235,144,17370,35,Setengah matang,0.9634408812
123,46,16,112,241,119,14649,35,Setengah matang,0.945639052
170,68,25,111,234,171,18936,35,Setengah matang,1.037073034
160,63,20,111,238,161,18816,35,Setengah matang,0.9574124649
